ProductionType,boa,loa,apartmentNumber,bathNumber,toiletNumber,darkBTA,lightBTA,landPreparation,streetCost,clientCost,connectionFee,interest
ApartmentBuilding,12200,37000,63000,270000,125000,12800,0,200,1100,750,600,2250
Townhouse,11200,32500,90000,255000,125000,12800,0,220,800,380,850,2000
Villas,14350,32500,90000,255000,125000,12800,0,220,800,380,850,2000
NursingHome,12000,37000,25000,270000,125000,12800,0,200,950,850,600,2050
StudentApartments,12200,37000,29000,225000,125000,12800,0,200,950,850,600,1950
Hotel ,22500,37000,0,225000,125000,12800,0,200,950,850,600,2250
Office,0,13550,0,225000,125000,12800,0,200,550,850,600,1950
Trade,0,17000,0,225000,125000,12800,0,200,550,850,600,1350
HotWarehouse,0,10700,0,225000,125000,12800,0,200,350,450,500,850
ColdWarehouse,0,7750,0,225000,125000,12800,0,200,350,450,500,600
FreezerWarehouse,0,13850,0,225000,125000,12800,0,200,350,450,500,1050
IndustrialBuiding,0,12550,0,225000,125000,12800,0,200,350,450,500,1000
School,0,16800,0,225000,125000,12800,0,200,600,850,600,1450
Preschool,0,17800,0,225000,125000,12800,0,200,600,850,600,1500
ParkingGarage,0,8050,0,225000,125000,3650,0,200,350,350,300,450
SportsHall,0,15700,0,225000,125000,12800,0,200,350,450,500,1100
Apartment1,0,3800,0,205000,85000,1850,0,50,0,350,50,250
Apartment2,400,5200,65000,205000,85000,1850,0,50,0,550,50,250
Apartment3,3600,7800,65000,205000,85000,2250,0,50,0,950,50,250
Apartment4,8400,11800,65000,205000,85000,2250,0,50,0,1250,50,250
Office1,0,1100,65000,205000,85000,2250,0,50,0,300,50,250
Office2,0,6900,65000,205000,85000,2250,0,50,0,300,50,250
Office3,0,10800,65000,205000,85000,2250,0,50,0,300,50,250
Office4,0,11450,65000,205000,85000,2250,0,50,0,300,50,250
Trade1,0,900,65000,205000,85000,2250,0,50,0,300,50,250
Trade2,0,2275,65000,205000,85000,2250,0,50,0,300,50,250
Trade3,0,3650,65000,205000,85000,2250,0,50,0,300,50,250
Trade4,0,4500,65000,205000,85000,2250,0,50,0,300,50,250
School1,0,7850,0,225000,125000,12800,0,200,600,850,600,450
School2,0,10950,0,225000,125000,12800,0,200,600,850,600,450
